"Kreise (2020) Kennziffer";"Kreise (2020) Name";"Siedlungsstruktureller Kreistyp (2020) Kennziffer";"Siedlungsstruktureller Kreistyp (2020) Name"
"01001000";"Flensburg, Stadt";"4";"Dünn besiedelter ländlicher Kreis"
"01002000";"Kiel, Landeshauptstadt";"1";"kreisfreie Großstadt"
"01003000";"Lübeck, Hansestadt";"1";"kreisfreie Großstadt"
"01004000";"Neumünster, Stadt";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"01051000";"Dithmarschen";"4";"Dünn besiedelter ländlicher Kreis"
"01053000";"Herzogtum Lauenburg";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"01054000";"Nordfriesland";"4";"Dünn besiedelter ländlicher Kreis"
"01055000";"Ostholstein";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"01056000";"Pinneberg";"2";"Städtischer Kreis"
"01057000";"Plön";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"01058000";"Rendsburg-Eckernförde";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"01059000";"Schleswig-Flensburg";"4";"Dünn besiedelter ländlicher Kreis"
"01060000";"Segeberg";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"01061000";"Steinburg";"4";"Dünn besiedelter ländlicher Kreis"
"01062000";"Stormarn";"2";"Städtischer Kreis"
"02000000";"Hamburg, Freie und Hansestadt";"1";"kreisfreie Großstadt"
"03101000";"Braunschweig, Stadt";"1";"kreisfreie Großstadt"
"03102000";"Salzgitter, Stadt";"1";"kreisfreie Großstadt"
"03103000";"Wolfsburg, Stadt";"1";"kreisfreie Großstadt"
"03151000";"Gifhorn";"4";"Dünn besiedelter ländlicher Kreis"
"03153000";"Goslar";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"03154000";"Helmstedt";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"03155000";"Northeim";"4";"Dünn besiedelter ländlicher Kreis"
"03157000";"Peine";"2";"Städtischer Kreis"
"03158000";"Wolfenbüttel";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"03159000";"Göttingen";"2";"Städtischer Kreis"
"03241000";"Region Hannover";"2";"Städtischer Kreis"
"03251000";"Diepholz";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"03252000";"Hameln-Pyrmont";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"03254000";"Hildesheim";"2";"Städtischer Kreis"
"03255000";"Holzminden";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"03256000";"Nienburg (Weser)";"4";"Dünn besiedelter ländlicher Kreis"
"03257000";"Schaumburg";"2";"Städtischer Kreis"
"03351000";"Celle";"4";"Dünn besiedelter ländlicher Kreis"
"03352000";"Cuxhaven";"4";"Dünn besiedelter ländlicher Kreis"
"03353000";"Harburg";"2";"Städtischer Kreis"
"03354000";"Lüchow-Dannenberg";"4";"Dünn besiedelter ländlicher Kreis"
"03355000";"Lüneburg";"4";"Dünn besiedelter ländlicher Kreis"
"03356000";"Osterholz";"2";"Städtischer Kreis"
