station_id,year,month,is_weekend,hour,n_hours,hours_rain,hours_light_rain,hours_heavy_rain,hours_frost,hours_hot,hours_strong_sun,mean_temp,mean_precip,mean_solar,n_accidents,n_fatal,n_serious,n_loss_control,n_wet_road,n_icy_road,state,rain_share,heavy_rain_share,frost_share,hot_share,strong_sun_share,is_commuter_hour
91,2020,9,True,2,7,0,0,0,0,0,0,9.457142857142856,0.0,,2,0,0,1,1,0,Hessen,0.0,0.0,0.0,0.0,0.0,False
91,2022,5,True,22,9,0,0,0,0,0,0,12.11111111111111,0.0,,2,0,0,1,0,0,Hessen,0.0,0.0,0.0,0.0,0.0,False
91,2023,5,False,5,23,1,1,0,1,0,0,6.265217391304348,0.0043478260869565,,6,0,0,3,0,0,Hessen,0.0434782608695652,0.0,0.0434782608695652,0.0,0.0,False
91,2024,1,True,9,8,0,0,0,7,0,0,-1.4375,0.0,,4,0,0,3,1,2,Hessen,0.0,0.0,0.875,0.0,0.0,False
91,2024,5,True,14,8,0,0,0,0,0,0,18.5125,0.0,,15,0,3,5,4,0,Hessen,0.0,0.0,0.0,0.0,0.0,False
91,2024,7,True,21,8,2,2,0,0,0,0,18.2125,0.175,,5,0,2,1,0,0,Hessen,0.25,0.0,0.0,0.0,0.0,False
91,2024,9,False,7,21,4,4,0,0,0,0,12.261904761904765,0.0571428571428571,,37,0,2,7,17,0,Hessen,0.1904761904761904,0.0,0.0,0.0,0.0,True
150,2020,11,True,7,9,1,1,0,3,0,0,3.9,0.0444444444444444,,1,0,1,1,0,0,Rheinland-Pfalz,0.1111111111111111,0.0,0.3333333333333333,0.0,0.0,False
150,2022,2,False,19,20,1,1,0,0,0,0,6.470000000000001,0.055,,21,0,4,3,10,0,Rheinland-Pfalz,0.05,0.0,0.0,0.0,0.0,False
183,2022,1,True,7,10,2,2,0,0,0,0,3.28,0.22,0.0,0,0,0,0,0,0,Mecklenburg-Vorpommern,0.2,0.0,0.0,0.0,0.0,False
198,2020,1,True,18,8,2,2,0,1,0,0,2.65,0.3,,1,0,1,0,1,0,Thüringen,0.25,0.0,0.125,0.0,0.0,False
330,2020,6,False,12,22,3,3,0,0,0,0,17.990909090909092,0.0136363636363636,,43,0,6,6,4,0,Hessen,0.1363636363636363,0.0,0.0,0.0,0.0,False
330,2020,7,False,19,23,0,0,0,0,1,0,22.065217391304348,0.0,,35,0,10,8,3,0,Hessen,0.0,0.0,0.0,0.0434782608695652,0.0,False
330,2020,8,False,8,21,1,1,0,0,0,0,16.942857142857143,0.0714285714285714,,33,1,7,7,10,0,Hessen,0.0476190476190476,0.0,0.0,0.0,0.0,True
330,2023,4,False,2,20,3,3,0,2,0,0,4.755,0.11,,1,0,0,0,1,0,Hessen,0.15,0.0,0.1,0.0,0.0,False
330,2023,7,True,23,10,1,1,0,0,0,0,19.05,0.31,,9,0,2,2,2,0,Hessen,0.1,0.0,0.0,0.0,0.0,False
330,2023,11,True,5,8,1,1,0,2,0,0,3.6625,0.2875,,6,0,0,2,3,1,Hessen,0.125,0.0,0.25,0.0,0.0,False
