section,group,metric,value
accidents_per_year,2020,n_accidents,225411.0
accidents_per_year,2020,share_severe,0.201210233750793
accidents_per_year,2021,n_accidents,226075.0
accidents_per_year,2021,share_severe,0.195833241181024
accidents_per_year,2022,n_accidents,242815.0
accidents_per_year,2022,share_severe,0.18279348475176574
accidents_per_year,2023,n_accidents,254611.0
accidents_per_year,2023,share_severe,0.17009477202477505
accidents_per_year,2024,n_accidents,254000.0
accidents_per_year,2024,share_severe,0.16318503937007875
severity_distribution,fatal,share,0.009349811125003325
severity_distribution,serious_injury,share,0.17251719161501422
severity_distribution,light_injury,share,0.8181329972599825
weather_per_year,2020,share_rainy_hours,0.09733049235780043
weather_per_year,2020,mean_temp,10.827325471704933
weather_per_year,2021,share_rainy_hours,0.10954941125678504
weather_per_year,2021,mean_temp,9.459456050326594
weather_per_year,2022,share_rainy_hours,0.09347656365082639
weather_per_year,2022,mean_temp,10.66759738170635
weather_per_year,2023,share_rainy_hours,0.13294444064588334
weather_per_year,2023,mean_temp,10.989264986399567
weather_per_year,2024,share_rainy_hours,0.1159978797472888
weather_per_year,2024,mean_temp,11.170314809155052
overview,all,n_accidents,1202912.0
overview,all,n_stations,32.0
overview,all,median_station_distance_km,43.2
