section,group,metric,value
state_sensitivity,Baden-Württemberg,rain_ratio,2.301534871789017
state_sensitivity,Baden-Württemberg,frost_ratio,0.9955422273031505
state_sensitivity,Baden-Württemberg,sensitivity_index,1.6485385495460838
state_sensitivity,Baden-Württemberg,n_accidents,126702.0
state_kind,Baden-Württemberg,territorial_state,1.0
state_sensitivity,Bayern,rain_ratio,1.9545036795153243
state_sensitivity,Bayern,frost_ratio,0.4601114373390139
state_sensitivity,Bayern,sensitivity_index,1.207307558427169
state_sensitivity,Bayern,n_accidents,165901.0
state_kind,Bayern,territorial_state,1.0
state_sensitivity,Berlin,rain_ratio,3.354012934797523
state_sensitivity,Berlin,frost_ratio,0.6331258097791546
state_sensitivity,Berlin,sensitivity_index,1.9935693722883387
state_sensitivity,Berlin,n_accidents,78083.0
state_kind,Berlin,city_state,1.0
state_sensitivity,Brandenburg,rain_ratio,2.8064343796428255
state_sensitivity,Brandenburg,frost_ratio,0.9800457050433586
state_sensitivity,Brandenburg,sensitivity_index,1.8932400423430922
state_sensitivity,Brandenburg,n_accidents,18939.0
state_kind,Brandenburg,territorial_state,1.0
state_sensitivity,Bremen,rain_ratio,3.2023318087563655
state_sensitivity,Bremen,frost_ratio,1.1476207808986143
state_sensitivity,Bremen,sensitivity_index,2.17497629482749
state_sensitivity,Bremen,n_accidents,61362.0
state_kind,Bremen,city_state,1.0
state_sensitivity,Hamburg,rain_ratio,3.0155249393998793
state_sensitivity,Hamburg,frost_ratio,1.5908349771768457
state_sensitivity,Hamburg,sensitivity_index,2.3031799582883625
state_sensitivity,Hamburg,n_accidents,78485.0
state_kind,Hamburg,city_state,1.0
state_sensitivity,Hessen,rain_ratio,2.444582511628297
state_sensitivity,Hessen,frost_ratio,0.4895389583706503
state_sensitivity,Hessen,sensitivity_index,1.4670607349994738
state_sensitivity,Hessen,n_accidents,76477.0
state_kind,Hessen,territorial_state,1.0
state_sensitivity,Mecklenburg-Vorpommern,rain_ratio,3.400990768074923
state_sensitivity,Mecklenburg-Vorpommern,frost_ratio,2.4589844859168783
state_sensitivity,Mecklenburg-Vorpommern,sensitivity_index,2.9299876269959007
state_sensitivity,Mecklenburg-Vorpommern,n_accidents,17674.0
state_kind,Mecklenburg-Vorpommern,territorial_state,1.0
state_sensitivity,Niedersachsen,rain_ratio,3.569678895764758
state_sensitivity,Niedersachsen,frost_ratio,1.2537816275750622
state_sensitivity,Niedersachsen,sensitivity_index,2.41173026166991
state_sensitivity,Niedersachsen,n_accidents,63457.0
state_kind,Niedersachsen,territorial_state,1.0
state_sensitivity,Nordrhein-Westfalen,rain_ratio,2.3840584612719637
state_sensitivity,Nordrhein-Westfalen,frost_ratio,0.6255246264767975
state_sensitivity,Nordrhein-Westfalen,sensitivity_index,1.5047915438743806
state_sensitivity,Nordrhein-Westfalen,n_accidents,145664.0
state_kind,Nordrhein-Westfalen,territorial_state,1.0
state_sensitivity,Rheinland-Pfalz,rain_ratio,3.3759653337494138
state_sensitivity,Rheinland-Pfalz,frost_ratio,0.7226883755421931
state_sensitivity,Rheinland-Pfalz,sensitivity_index,2.0493268546458037
state_sensitivity,Rheinland-Pfalz,n_accidents,82786.0
state_kind,Rheinland-Pfalz,territorial_state,1.0
state_sensitivity,Saarland,rain_ratio,2.342933455987788
state_sensitivity,Saarland,frost_ratio,0.6976437726757809
state_sensitivity,Saarland,sensitivity_index,1.5202886143317844
state_sensitivity,Saarland,n_accidents,18900.0
state_kind,Saarland,territorial_state,1.0
state_sensitivity,Sachsen,rain_ratio,2.750989593180861
state_sensitivity,Sachsen,frost_ratio,0.9099130009460987
state_sensitivity,Sachsen,sensitivity_index,1.8304512970634799
state_sensitivity,Sachsen,n_accidents,59893.0
state_kind,Sachsen,territorial_state,1.0
state_sensitivity,Sachsen-Anhalt,rain_ratio,3.168368887168664
state_sensitivity,Sachsen-Anhalt,frost_ratio,0.7940287420231191
state_sensitivity,Sachsen-Anhalt,sensitivity_index,1.9811988145958916
state_sensitivity,Sachsen-Anhalt,n_accidents,35318.0
state_kind,Sachsen-Anhalt,territorial_state,1.0
state_sensitivity,Schleswig-Holstein,rain_ratio,2.7685981537935818
state_sensitivity,Schleswig-Holstein,frost_ratio,2.9806126695938713
state_sensitivity,Schleswig-Holstein,sensitivity_index,2.8746054116937265
state_sensitivity,Schleswig-Holstein,n_accidents,22131.0
state_kind,Schleswig-Holstein,territorial_state,1.0
state_sensitivity,Thüringen,rain_ratio,3.1910716541489186
state_sensitivity,Thüringen,frost_ratio,1.1520885416637952
state_sensitivity,Thüringen,sensitivity_index,2.171580097906357
state_sensitivity,Thüringen,n_accidents,33412.0
state_kind,Thüringen,territorial_state,1.0
